0 [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0], [21, 0], [22, 0], [23, 0], [24, 0], [25, 0], [26, 0], [27, 0], [28, 0], [29, 0], [30, 0]]
31 [[1, 0], [2, 255829502.0805292], [3, 255965661.4833548], [4, 256933297.91052607], [5, 0], [6, 251945021.72003943], [7, 257503168.63279495], [8, 252038263.00356284], [9, 0], [10, 0], [11, 227490481.6011414], [12, 256187460.05290887], [13, 245029886.37306583], [14, 0], [15, 0], [16, 246178415.55758673], [17, 172053671.92233777], [18, 0], [19, 243241087.40221846], [20, 239636320.7054084], [21, 256968895.2000319], [22, 0], [23, 249429366.78067055], [24, 0], [25, 0], [26, 0], [27, 208916906.81246996], [28, 0], [29, 0], [30, 0]]
32 [[1, 0], [2, 241659004.16105843], [3, 255965661.4833548], [4, 256933297.91052607], [5, 0], [6, 251945021.72003943], [7, 257503168.63279495], [8, 252038263.00356284], [9, 0], [10, 256044888.2172683], [11, 227490481.6011414], [12, 242374920.10581774], [13, 232522502.81230882], [14, 254094118.98499498], [15, 0], [16, 258041869.57297072], [17, 172053671.92233777], [18, 258427111.5240007], [19, 252980766.93647948], [20, 252286129.41707125], [21, 256968895.2000319], [22, 0], [23, 249429366.78067055], [24, 255280476.25297624], [25, 238628957.37644604], [26, 0], [27, 0], [28, 256073278.6669958], [29, 0], [30, 0]]
33 [[1, 0], [2, 227488506.24158764], [3, 260575387.1939305], [4, 254712344.21038774], [5, 0], [6, 257141030.08416918], [7, 251423537.79409945], [8, 253460345.5858215], [9, 0], [10, 256044888.2172683], [11, 247602881.19842437], [12, 228562380.1587266], [13, 232522502.81230882], [14, 254094118.98499498], [15, 256982891.953366], [16, 258041869.57297072], [17, 257756708.99029222], [18, 258427111.5240007], [19, 252980766.93647948], [20, 252286129.41707125], [21, 256968895.2000319], [22, 255341369.14015263], [23, 0], [24, 240560952.50595248], [25, 238628957.37644604], [26, 0], [27, 0], [28, 242146557.3339916], [29, 0], [30, 0]]
34 [[1, 259061011.4500291], [2, 213318008.32211685], [3, 260575387.1939305], [4, 254712344.21038774], [5, 257419802.3299019], [6, 244282060.16833836], [7, 232847075.5881989], [8, 236920691.17164302], [9, 261194909.35023752], [10, 252373629.3134081], [11, 225205762.39684874], [12, 228562380.1587266], [13, 251438050.1087318], [14, 253895993.19364718], [15, 243965783.90673202], [16, 254865507.07644302], [17, 245513417.98058444], [18, 258427111.5240007], [19, 0], [20, 0], [21, 256968895.2000319], [22, 240682738.28030527], [23, 0], [24, 240560952.50595248], [25, 255861064.23460907], [26, 0], [27, 0], [28, 228219836.00098738], [29, 0], [30, 0]]
35 [[1, 248122022.9000582], [2, 199147510.40264606], [3, 251824630.91825718], [4, 257524271.67306453], [5, 257419802.3299019], [6, 231423090.25250754], [7, 214270613.38229835], [8, 236920691.17164302], [9, 261194909.35023752], [10, 252373629.3134081], [11, 225205762.39684874], [12, 260205761.05241516], [13, 251438050.1087318], [14, 253895993.19364718], [15, 230948675.86009803], [16, 239731014.15288603], [17, 233270126.97087666], [18, 258427111.5240007], [19, 0], [20, 0], [21, 258657666.91444534], [22, 226024107.4204579], [23, 0], [24, 255280476.25297624], [25, 255861064.23460907], [26, 0], [27, 0], [28, 228219836.00098738], [29, 0], [30, 0]]
36 [[1, 237183034.3500873], [2, 184977012.48317528], [3, 233649261.83651435], [4, 245048543.34612906], [5, 0], [6, 218564120.33667672], [7, 195694151.1763978], [8, 0], [9, 258179562.1110658], [10, 257461677.52281705], [11, 252890890.51698187], [12, 260205761.05241516], [13, 0], [14, 257184302.2647918], [15, 230948675.86009803], [16, 239731014.15288603], [17, 221026835.9611689], [18, 0], [19, 256660507.7553794], [20, 0], [21, 247315333.82889068], [22, 211365476.56061053], [23, 256952385.9464684], [24, 240560952.50595248], [25, 250903316.9225479], [26, 238156572.56461385], [27, 254600791.65177792], [28, 0], [29, 0], [30, 0]]
37 [[1, 226244045.80011642], [2, 184977012.48317528], [3, 233649261.83651435], [4, 245048543.34612906], [5, 0], [6, 205705150.4208459], [7, 177117688.97049725], [8, 0], [9, 246359124.2221316], [10, 244923355.0456341], [11, 235781781.03396374], [12, 252214620.28454202], [13, 0], [14, 244368604.52958357], [15, 251527647.4165883], [16, 257168142.16992953], [17, 221026835.9611689], [18, 0], [19, 256660507.7553794], [20, 0], [21, 235973000.74333602], [22, 211365476.56061053], [23, 256952385.9464684], [24, 240560952.50595248], [25, 250903316.9225479], [26, 206313145.1292277], [27, 254600791.65177792], [28, 0], [29, 0], [30, 0]]
38 [[1, 215305057.25014552], [2, 254720637.03562424], [3, 256938218.56810233], [4, 251391970.5064107], [5, 0], [6, 205705150.4208459], [7, 158541226.7645967], [8, 0], [9, 234538686.3331974], [10, 232385032.56845114], [11, 235781781.03396374], [12, 252214620.28454202], [13, 0], [14, 244368604.52958357], [15, 251527647.4165883], [16, 257168142.16992953], [17, 0], [18, 0], [19, 256660507.7553794], [20, 255676351.1809434], [21, 235973000.74333602], [22, 0], [23, 0], [24, 250691998.57437277], [25, 248491883.20240316], [26, 174469717.69384155], [27, 0], [28, 0], [29, 0], [30, 0]]
39 [[1, 215305057.25014552], [2, 239441274.07124847], [3, 243876437.13620466], [4, 232783941.01282138], [5, 257419802.3299019], [6, 257141030.08416918], [7, 139964764.55869615], [8, 0], [9, 222718248.44426322], [10, 219846710.09126818], [11, 0], [12, 245234047.4741587], [13, 0], [14, 253895993.19364718], [15, 0], [16, 254865507.07644302], [17, 0], [18, 0], [19, 256660507.7553794], [20, 241352702.3618868], [21, 255119255.84648395], [22, 0], [23, 0], [24, 250691998.57437277], [25, 248491883.20240316], [26, 174469717.69384155], [27, 0], [28, 0], [29, 0], [30, 0]]
40 [[1, 256492815.43946964], [2, 224161911.1068727], [3, 230814655.704307], [4, 214175911.51923206], [5, 244839604.6598038], [6, 244282060.16833836], [7, 139964764.55869615], [8, 0], [9, 222718248.44426322], [10, 219846710.09126818], [11, 0], [12, 220468094.9483174], [13, 0], [14, 253895993.19364718], [15, 0], [16, 239731014.15288603], [17, 0], [18, 0], [19, 0], [20, 227029053.5428302], [21, 240238511.6929679], [22, 256594227.4641439], [23, 0], [24, 251860090.50324428], [25, 238628957.37644604], [26, 0], [27, 0], [28, 0], [29, 0], [30, 254846029.77853477]]
41 [[1, 256492815.43946964], [2, 208882548.14249694], [3, 230814655.704307], [4, 195567882.02564275], [5, 232259406.9897057], [6, 231423090.25250754], [7, 251423537.79409945], [8, 252595074.0822392], [9, 0], [10, 0], [11, 0], [12, 195702142.4224761], [13, 256183828.01151294], [14, 258274812.60991412], [15, 0], [16, 239731014.15288603], [17, 0], [18, 0], [19, 0], [20, 227029053.5428302], [21, 240238511.6929679], [22, 243188454.9282878], [23, 0], [24, 251860090.50324428], [25, 207257914.75289208], [26, 0], [27, 0], [28, 0], [29, 0], [30, 239692059.55706954]]
42 [[1, 259437512.9618414], [2, 193603185.17812118], [3, 0], [4, 195567882.02564275], [5, 219679209.31960762], [6, 231423090.25250754], [7, 232847075.5881989], [8, 252595074.0822392], [9, 252184999.7418149], [10, 0], [11, 0], [12, 195702142.4224761], [13, 256183828.01151294], [14, 258274812.60991412], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 257332705.53957704], [21, 258657666.91444534], [22, 229782682.3924317], [23, 0], [24, 255280476.25297624], [25, 175886872.12933812], [26, 0], [27, 0], [28, 0], [29, 0], [30, 239692059.55706954]]
